Alert,EmailTo,EmailCC,EmailDescription,Severity,AlertID
com.zerto.event.BacklogError,example.user@company.com,example.user2@company.com,Zerto Backlog Error,Error,"VPG0004,VPG0038 "
com.zerto.event.BacklogWarning,example.user@company.com,example.user2@company.com,Zerto Backlog Warning,Warning,"VPG0003,VPG0037"
com.zerto.event.CriticalCheckpoint,example.user@company.com,example.user2@company.com,Zerto Critical Checkpoint,Error,VPG0007
com.zerto.event.JournalLimitReached,example.user@company.com,example.user2@company.com,Zerto Journal Limit Reached,Error / Warning,"VRA0039,VRA0040"
com.zerto.event.ProtectionGroupPaused,example.user@company.com,example.user2@company.com,Zerto Protection Group Paused,warning,VPG0017
com.zerto.event.RpoError,example.user@company.com,example.user2@company.com,Zerto RPO Error,Error,VPG0010
com.zerto.event.RpoWarning,example.user@company.com,example.user2@company.com,Zerto RPO Warning ,Warning,VPG0009
com.zerto.event.AwsStorageRemoved,example.user@company.com,example.user2@company.com,Zerto AWS Storage Removed,,
com.zerto.event.CheckHost,example.user@company.com,example.user2@company.com,Zerto Check Host ,Warning,"ZVM0011,ZVM0013"
com.zerto.event.MisconfiguredSanPolicyOnCrossReplicatedWinVmName,example.user@company.com,example.user2@company.com,Zerto Misconfigured SAN Policy,Warning,VPG0043
com.zerto.event.CloudStorageRemoved ,example.user@company.com,example.user2@company.com,Zerto Cloud Storage Removed,Error,ZCA0001
com.zerto.event.Datastore,example.user@company.com,example.user2@company.com,Zerto Datastore Accessibility,Error,STR0001
com.zerto.event.DisconnectedAWSName ,example.user@company.com,example.user2@company.com,Zerto Disconnected AWS Site,Error,ZVM0001
com.zerto.event.DisconnectedVCenter,example.user@company.com,example.user2@company.com,Zerto Disconnected vCenter ,Error,ZVM0001
com.zerto.event.DuplicateMacAddress,example.user@company.com,example.user2@company.com,Zerto Duplicat Mac Address,Error,"VRA0037,VRA0038"
com.zerto.event.HostInMaintenanceMode ,example.user@company.com,example.user2@company.com,Zerto Host In Maintenance Mode,Warning,VRA0056
com.zerto.event.MissingNetworksForVMmsInVPG,example.user@company.com,example.user2@company.com,Zerto Missing Networks in VPG,Error,VPG0042
com.zerto.event.ProtectedVmWithUnkownOS,example.user@company.com,example.user2@company.com,Zerto Protected VM Unknown OS,,-
com.zerto.event.RdmWithOddNumberOfBlocks,example.user@company.com,example.user2@company.com,Zerto RDM Odd Number of Blocks,Error,VPG0039
com.zerto.event.RecoveryDataStoreFull,example.user@company.com,example.user2@company.com,Zerto Recovery Datastore Full ,Error,STR0002
com.zerto.event.RecoveryDataStoreLowFreeSpace,example.user@company.com,example.user2@company.com,Zerto Recovery Datastore Low Space,Warning,STR0004
com.zerto.event.ScvmmFailedToCheckIfPsModuleInstalled ,example.user@company.com,example.user2@company.com,Zerto SCVMM Failed to Check PS Module,-,ZVM0015
com.zerto.event.ScvmmFailedToCreateFolderAtHost ,example.user@company.com,example.user2@company.com,Zerto SCVMM Failed Host Folder,-,ZVM0015
com.zerto.event.ScvmmFailedToUploadScriptToHost ,example.user@company.com,example.user2@company.com,Zerto SCVMM Failed Script Upload to Host,-,ZVM0015
com.zerto.event.ScvmmHostIsNotResponding ,example.user@company.com,example.user2@company.com,Zerto SCVMM Host not Responding,-,ZVM0015
com.zerto.event.ScvmmPsModuleNotFoundAtHost ,example.user@company.com,example.user2@company.com,Zerto SCVMM PS Module Not Found,-,ZVM0015
com.zerto.event.VirtualMachineHardwareVersionMismatch,example.user@company.com,example.user2@company.com,Zerto VM Hardware Version Mismatch,Error,VPG0040
com.zerto.event.VraBallooning,example.user@company.com,example.user2@company.com,Zerto VRA Ballooning,Warning,VRA0029
com.zerto.event.AssertAlert,example.user@company.com,example.user2@company.com,Zerto Assert Alert,Error,ZVM0009
 com.zerto.event.FailureDuringReflectionCollection,example.user@company.com,example.user2@company.com,Zerto Reflection Collection Failure,,-
com.zerto.event.FileRestoreComponentNotAvailable,example.user@company.com,example.user2@company.com,Zerto File Restore Not Available,Error,FLR0001
com.zerto.event.GhostSystemDisk,example.user@company.com,example.user2@company.com,Zerto Ghost System Disk ,Error,VRA0053
com.zerto.event.GhostUnknownVolume,example.user@company.com,example.user2@company.com,Zerto Ghost Unknown Volume,Warning,VRA0052
com.zerto.event.GhostVm,example.user@company.com,example.user2@company.com,Zerto Ghost VM,Error,VRA0024
com.zerto.event.GhostVolume ,example.user@company.com,example.user2@company.com,Zerto Ghost Volume,Error,"VRA0027,VRA0026"
com.zerto.event.HostPasswordChanged,example.user@company.com,example.user2@company.com,Zerto Host Password Changed,Warning,VRA0050
com.zerto.event.NewVersionAvailable,example.user@company.com,example.user2@company.com,Zerto New Version Available,Warning ,"ZVM006,ZVM007"
com.zerto.event.PeerZvmCompatibility,example.user@company.com,example.user2@company.com,Zerto Peer Zvm Compatibility,Error,ZVM0008
com.zerto.event.ProtectedVolumeSizeChanged,example.user@company.com,example.user2@company.com,Zerto Size Changed Protected,,-
com.zerto.event.ProtectionGroupError,example.user@company.com,example.user2@company.com,Zerto Protection Group Error,Error,VPG0005
com.zerto.event.ProtectionGroupMissingConfiguration,example.user@company.com,example.user2@company.com,Zerto Missing Configuration Protection,Error,VPG0006
