Alert,EmailTo,EmailCC,EmailDescription,Severity,AlertID
com.zerto.event.BacklogError,example.user@company.com,example.user2@company.com,Zerto Backlog Error,Error,"VPG0004,VPG0038 "
com.zerto.event.CriticalCheckpoint,example.user@company.com,example.user2@company.com,Zerto Critical Checkpoint,Error,VPG0007
com.zerto.event.JournalLimitReached,example.user@company.com,example.user2@company.com,Zerto Journal Limit Reached,Error / Warning,"VRA0039,VRA0040"
com.zerto.event.RpoError,example.user@company.com,example.user2@company.com,Zerto RPO Error,Error,VPG0010
com.zerto.event.AwsStorageRemoved,example.user@company.com,example.user2@company.com,Zerto AWS Storage Removed,,-
com.zerto.event.CloudStorageRemoved ,example.user@company.com,example.user2@company.com,Zerto Cloud Storage Removed,Error,ZCA0001
com.zerto.event.Datastore,example.user@company.com,example.user2@company.com,Zerto Datastore Accessibility,Error,STR0001
com.zerto.event.DisconnectedAWSName ,example.user@company.com,example.user2@company.com,Zerto Disconnected AWS Site,Error,ZVM0001
com.zerto.event.DisconnectedVCenter,example.user@company.com,example.user2@company.com,Zerto Disconnected vCenter ,Error,ZVM0001
com.zerto.event.DuplicateMacAddress,example.user@company.com,example.user2@company.com,Zerto Duplicat Mac Address,Error,"VRA0037,VRA0038"
com.zerto.event.MissingNetworksForVMmsInVPG,example.user@company.com,example.user2@company.com,Zerto Missing Networks in VPG,Error,VPG0042
com.zerto.event.ProtectedVmWithUnkownOS,example.user@company.com,example.user2@company.com,Zerto Protected VM Unknown OS,,-
com.zerto.event.RdmWithOddNumberOfBlocks,example.user@company.com,example.user2@company.com,Zerto RDM Odd Number of Blocks,Error,VPG0039
com.zerto.event.RecoveryDataStoreFull,example.user@company.com,example.user2@company.com,Zerto Recovery Datastore Full ,Error,STR0002
com.zerto.event.VirtualMachineHardwareVersionMismatch,example.user@company.com,example.user2@company.com,Zerto VM Hardware Version Mismatch,Error,VPG0040
com.zerto.event.AssertAlert,example.user@company.com,example.user2@company.com,Zerto Assert Alert,Error,ZVM0009
 com.zerto.event.FailureDuringReflectionCollection,example.user@company.com,example.user2@company.com,Zerto Reflection Collection Failure,,-
com.zerto.event.FileRestoreComponentNotAvailable,example.user@company.com,example.user2@company.com,Zerto File Restore Not Available,Error,FLR0001
com.zerto.event.GhostSystemDisk,example.user@company.com,example.user2@company.com,Zerto Ghost System Disk ,Error,VRA0053
com.zerto.event.GhostVm,example.user@company.com,example.user2@company.com,Zerto Ghost VM,Error,VRA0024
com.zerto.event.GhostVolume ,example.user@company.com,example.user2@company.com,Zerto Ghost Volume,Error,"VRA0027,VRA0026"
com.zerto.event.PeerZvmCompatibility,example.user@company.com,example.user2@company.com,Zerto Peer Zvm Compatibility,Error,ZVM0008
com.zerto.event.ProtectionGroupError,example.user@company.com,example.user2@company.com,Zerto Protection Group Error,Error,VPG0005
com.zerto.event.ProtectionGroupMissingConfiguration,example.user@company.com,example.user2@company.com,Zerto Missing Configuration Protection,Error,VPG0006
com.zerto.event.UndoRollbackFailed,example.user@company.com,example.user2@company.com,Zerto Undo Rollback Failed,Error,"VPG0008,VRA0049"
com.zerto.event.UnprotectedVMsError,example.user@company.com,example.user2@company.com,Zerto Unprotected VMs Error,Error,VPG0027
com.zerto.event.VraCloneVolume,example.user@company.com,example.user2@company.com,Zerto Vra Clone Volume,Error,"VRA0014,VRA0015,VRA0016,VRA0017"
com.zerto.event.VraDidntReceiveIp,example.user@company.com,example.user2@company.com,Zerto Receive Ip Vra,Error,VRA0002
com.zerto.event.VraDiskboxScsiGuidMismatch,example.user@company.com,example.user2@company.com,Zerto Vra Diskbox Guid Mismatch,,-
com.zerto.event.VraIpChanged,example.user@company.com,example.user2@company.com,Zerto Vra Ip Changed,Error,"VRA0003,VRA0004"
com.zerto.event.VraLogVolume,example.user@company.com,example.user2@company.com,Zerto Vra Log Volume,Error,"VRA0006,VRA0007"
com.zerto.event.VraPoweredOff,example.user@company.com,example.user2@company.com,Zerto Vra Powered Off,Error / Warning,VRA0028
com.zerto.event.VraProtectedVolume,example.user@company.com,example.user2@company.com,Zerto Vra Protected Volume,Error,"VRA0018,VRA0019,VRA0020,VRA0021,VRA0022,VRA0025"
com.zerto.event.VRARegistrationFailed,example.user@company.com,example.user2@company.com,Zerto Vraregistration Failed,Error,"VRA0023,VRA0015,VRA0016,VRA0017"
com.zerto.event.VRAsReconciliation,example.user@company.com,example.user2@company.com,Zerto Vras Reconciliation,Error,VRA0037
com.zerto.event.VraTargetVolume,example.user@company.com,example.user2@company.com,Zerto Vra Target Volume,Error,"VRA0008,VRA0009,VRA0010,VRA0011,VRA0012,VRA0013  "
com.zerto.event.VraToVraConnection,example.user@company.com,example.user2@company.com,Zerto Vra Connection Vra,Error,VRA0006
com.zerto.event.ZVM lost access to Azure,example.user@company.com,example.user2@company.com,Zerto  to  Azure ZVM lost,,-
com.zerto.event.ZvmToVraConnection,example.user@company.com,example.user2@company.com,Zerto Vra Connection Zvm,Error,ZVM0002
com.zerto.event.ZvmToZvmConnection,example.user@company.com,example.user2@company.com,Zerto Zvm Connection Zvm,Error / Warning,"ZVM0003,ZVM0004"
com.zerto.event.ZvmTweaksLoadFailed,example.user@company.com,example.user2@company.com,Zerto Load Failed Zvm,,-
